imageName,Equipo,Año,Precio,Precio_Oferta,Talla,Tipo,Disponible,Tipo_Region,Notas,Estado,,,,,,,,,,
Antalya,PSG,2020,250,,L,Casa,TRUE,Europa,,,,,,,,,,,,Antalya
Antigua,Juventus,2014,400,,XL,Visita,TRUE,Seleccion,Dorsal de Dybala,,,,,,,,,,,Antigua
Antofagasta,Guatemala,2025,475,,M,Visita,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Antofagasta
Aqaba,Reggiana,-,800,,M,Otros,TRUE,Europa,No especifica la talla,,,,,,,,,,,Aqaba
Arequipa,Arsenal,2019,350,,M,Casa,TRUE,Europa,,,,,,,,,,,,Arequipa
Ashgabat,River Plate,"2022, 2022, 2023",600,,XL,Casa,TRUE,Conmebol/Concacaf,"Detalles estéticos, sucia. 120 aniversario",,,,,,,,,,,Ashgabat
Asuncion,River Plate,-,1,,XL,Casa,TRUE,Conmebol/Concacaf,"Detalles estéticos, sucia. 120 aniversario. No tiene precio",,,,,,,,,,,Asuncion
Aveiro,River Plate,2024,650,,L,Casa,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Aveiro
Avengers,River Plate,2004,850,,XL,Casa,TRUE,Conmebol/Concacaf,Marcelo Salas,,,,,,,,,,,Avengers
Bandung,River Plate,-,450,,S,Casa,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Bandung
Banjul,River Plate,"2022, 2022, 2023",600,,XL,Casa,TRUE,Conmebol/Concacaf,Perez,,,,,,,,,,,Banjul
Barranquilla,Arsenal,2010,300,,L,Casa,TRUE,Europa,,,,,,,,,,,,Barranquilla
Batumi,Arsenal,2010,250,,L,Casa,TRUE,Europa,"Manga Larga, sin talla quizas L",,,,,,,,,,,Batumi
Bergenhus,Bayern,-,200,,XL,Casa,TRUE,Europa,PArece mas chiquita,,,,,,,,,,,Bergenhus
Bilbao,Manchester United,2010-2011,300,,XL,Casa,TRUE,Europa,,,,,,,,,,,,Bilbao
Brno,Manchester United,-,250,,XS,Casa,TRUE,Europa,Manga larga,,,,,,,,,,,Brno
Bruges,AC Milan,-,400,,XL,Casa,TRUE,Europa,,,,,,,,,,,,Bruges
